"id","latitude","longitude"
154715,42.005042,-87.660883
400943,41.71868,-87.567725
301963,37.551176,-77.442239
111337,41.837874,-87.685019
364257,41.836208,-87.668102
290319,41.747184,-87.558878
371548,41.939754,-87.643401
46477,37.555212,-77.472252
322326,41.654569,-87.548378
381688,37.534591,-77.518032
155489,41.769333,-87.566534
285002,41.995458,-87.666397
403436,41.951253,-87.654189
223391,41.301987,-72.915749
24447,41.900735,-87.628317
376653,41.995583,-87.660436
367566,41.946111,-87.748111
299856,41.7838,-87.620563
68293,41.330569,-72.928027
183017,41.910561,-87.672576
37015,41.78041,-87.60593
55934,37.80257,-122.227753
302666,41.944814,-87.737192
390717,41.910818,-87.646738
330931,41.924648,-87.713422
235284,37.529761,-77.511136
58134,41.722195,-87.594793
392840,41.674167,-87.627356
323789,41.909946,-87.726381
353315,41.973011,-87.6895
392075,37.543403,-77.462555
177886,41.843585,-87.640417
322881,41.983766,-87.769536
262104,41.831741,-87.649003
260244,41.824207,-87.689753
313575,41.826827,-87.683441
36693,41.737949,-87.696631
345551,42.005286,-87.813697
175926,41.775807,-87.587384
311596,41.753599,-87.716285
347651,41.791711,-87.698625
158503,41.793967,-87.800321
375796,41.895004,-87.745807
42955,41.968313,-87.72147
271368,37.796662,-122.212054
194945,41.943108,-87.82407
82614,41.966201,-87.668231
375265,42.002829,-87.680638
18697,41.846379,-87.701417
2307,41.933291,-87.784549
7498,41.910561,-87.672615
177959,41.327653,-72.960844
152376,41.99773,-87.689883
294131,41.854128,-87.667021
223774,37.796774,-122.271581
8690,37.539819,-77.577238
402927,41.697845,-87.640126
342569,37.805778,-122.270338
358636,41.941618,-87.739576
163479,41.823165,-87.670653
243368,41.780627,-87.584576
252358,41.898558,-87.682024
165504,41.947913,-87.796944
115056,41.787307,-87.798803
301121,37.591813,-77.450975
220232,41.860728,-87.65651
75027,41.881816,-87.745341
235570,37.843588,-122.264796
198043,41.77253,-87.732362
235427,41.913012,-87.642292
261831,41.763186,-87.657485
171212,37.843842,-122.203674
347546,41.871066,-87.682489
315152,37.764065,-122.174217
1002,41.887827,-87.75412
49346,41.857744,-87.66963
247297,41.732403,-87.63865
11813,41.896951,-87.677081
172853,37.555554,-77.547978
66772,37.808918,-122.253838
317242,41.758283,-87.593224
73333,41.78142,-87.654958
89170,41.89226,-87.646756
261209,41.765062,-87.595802
212894,37.82513,-122.260994
115724,41.919154,-87.636392
8122,37.51818,-77.465931
398501,37.497316,-77.437044
